CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F89791,TT0130910,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89792,TT0130911,Unit,People,The unit is for a particular count (e.g. people or households),
F89792,TT0130911,Ethnic group (England and Wales),Asian or Asian British \ Pakistani,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89792,TT0130911,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89793,TT0130912,Unit,People,The unit is for a particular count (e.g. people or households),
F89793,TT0130912,Ethnic group (England and Wales),Asian or Asian British \ Bangladeshi,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89793,TT0130912,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89794,TT0130913,Unit,People,The unit is for a particular count (e.g. people or households),
F89794,TT0130913,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89794,TT0130913,Ethnic group (England and Wales),Asian or Asian British \ Other Asian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89795,TT0130914,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89795,TT0130914,Ethnic group (England and Wales),Black or Black British \ Caribbean,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89795,TT0130914,Unit,People,The unit is for a particular count (e.g. people or households),
F89796,TT0130915,Ethnic group (England and Wales),Black or Black British \ African,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89796,TT0130915,Unit,People,The unit is for a particular count (e.g. people or households),
F89796,TT0130915,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89797,TT0130916,Ethnic group (England and Wales),Black or Black British \ Other Black,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89797,TT0130916,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89797,TT0130916,Unit,People,The unit is for a particular count (e.g. people or households),
F89798,TT0130917,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89798,TT0130917,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Chinese,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89798,TT0130917,Unit,People,The unit is for a particular count (e.g. people or households),
F89799,TT0130918,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89799,TT0130918,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Other Ethnic Group,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89799,TT0130918,Unit,People,The unit is for a particular count (e.g. people or households),
F89801,TT0130920,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89801,TT0130920,Ethnic group (England and Wales),White \ British,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89801,TT0130920,Unit,People,The unit is for a particular count (e.g. people or households),
F89802,TT0130921,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89802,TT0130921,Ethnic group (England and Wales),White \ Irish,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89802,TT0130921,Unit,People,The unit is for a particular count (e.g. people or households),
F89803,TT0130922,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89803,TT0130922,Ethnic group (England and Wales),White \ Other White,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89803,TT0130922,Unit,People,The unit is for a particular count (e.g. people or households),
F89808,TT0130927,Ethnic group (England and Wales),Asian or Asian British \ Indian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89808,TT0130927,Unit,People,The unit is for a particular count (e.g. people or households),
F89808,TT0130927,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89809,TT0130928,Unit,People,The unit is for a particular count (e.g. people or households),
F89809,TT0130928,Ethnic group (England and Wales),Asian or Asian British \ Pakistani,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89809,TT0130928,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89810,TT0130929,Unit,People,The unit is for a particular count (e.g. people or households),
F89810,TT0130929,Ethnic group (England and Wales),Asian or Asian British \ Bangladeshi,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89810,TT0130929,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89811,TT0130930,Unit,People,The unit is for a particular count (e.g. people or households),
F89811,TT0130930,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89811,TT0130930,Ethnic group (England and Wales),Asian or Asian British \ Other Asian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89812,TT0130931,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89812,TT0130931,Ethnic group (England and Wales),Black or Black British \ Caribbean,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89812,TT0130931,Unit,People,The unit is for a particular count (e.g. people or households),
F89813,TT0130932,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89813,TT0130932,Unit,People,The unit is for a particular count (e.g. people or households),
F89813,TT0130932,Ethnic group (England and Wales),Black or Black British \ African,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89814,TT0130933,Ethnic group (England and Wales),Black or Black British \ Other Black,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89814,TT0130933,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89814,TT0130933,Unit,People,The unit is for a particular count (e.g. people or households),
F89815,TT0130934,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89815,TT0130934,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Chinese,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89815,TT0130934,Unit,People,The unit is for a particular count (e.g. people or households),
F89816,TT0130935,Socio-economic Classification (NS-SeC),Class 4 (Small employers and own account workers),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89816,TT0130935,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Other Ethnic Group,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89816,TT0130935,Unit,People,The unit is for a particular count (e.g. people or households),
F89818,TT0130937,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89818,TT0130937,Unit,People,The unit is for a particular count (e.g. people or households),
F89818,TT0130937,Ethnic group (England and Wales),White \ British,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89819,TT0130938,Unit,People,The unit is for a particular count (e.g. people or households),
F89819,TT0130938,Ethnic group (England and Wales),White \ Irish,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89819,TT0130938,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89820,TT0130939,Unit,People,The unit is for a particular count (e.g. people or households),
F89820,TT0130939,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89820,TT0130939,Ethnic group (England and Wales),White \ Other White,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89825,TT0130944,Ethnic group (England and Wales),Asian or Asian British \ Indian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89825,TT0130944,Unit,People,The unit is for a particular count (e.g. people or households),
F89825,TT0130944,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89826,TT0130945,Ethnic group (England and Wales),Asian or Asian British \ Pakistani,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89826,TT0130945,Unit,People,The unit is for a particular count (e.g. people or households),
F89826,TT0130945,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89827,TT0130946,Ethnic group (England and Wales),Asian or Asian British \ Bangladeshi,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89827,TT0130946,Unit,People,The unit is for a particular count (e.g. people or households),
F89827,TT0130946,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89828,TT0130947,Unit,People,The unit is for a particular count (e.g. people or households),
F89828,TT0130947,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89828,TT0130947,Ethnic group (England and Wales),Asian or Asian British \ Other Asian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
